blocks_dims,blocks_dropout,mlp_hidden_dims,mlp_activation,mlp_dropout,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,embed_dropout,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,False,False,False,0.0,0.0004,128,0.0,Adam,OneCycleLR,0.001,0.01,25,1000.0,5.0,2326.458740234375
"[100,100,100,100]",0.2,"[100,100]",relu,0.2,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2339.8263654011052
"[100, 100, 100]",0.1,"[200, 100]",relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2346.0303032107468
"[100, 100, 100]",0.1,"[200,100]",leaky_relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2350.2005347275153
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,True,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2353.83711056593
"[100, 100, 100]",0.1,None,relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2356.6358702124617
"[100,100,100,100]",0.2,"[100,100]",relu,0.2,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2356.7960502810593
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,True,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2357.0486762814407
"[100, 100, 100]",0.1,None,relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2357.812526795922
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,False,True,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2361.995724561738
"[100, 100, 100]",0.1,"[200,100]",relu,0.4,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2364.418034251143
"[100, 100, 100]",0.1,"[200,100]",relu,0.4,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2366.2061975990855
"[100, 100, 100]",0.1,None,relu,0.1,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2366.5148389862807
"[100, 100, 100]",0.4,"[100,50]",relu,0.1,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2368.990948932927
"[100, 100, 100]",0.1,"[200, 100]",relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2370.6096935737423
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,False,True,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2371.2180413967226
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,False,False,True,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2372.284099299733
"[100, 100, 100]",0.1,"[200,100]",relu,0.1,False,False,False,0.0,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2375.4486203077363
"[100, 100, 100]",0.1,"[200,100]",leaky_relu,0.1,False,False,False,0.0,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,2375.483821217607
