n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
5,16,16,True,128,0.75,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2713601151481271
5,16,16,True,64,0.25,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27223453391343355
5,64,64,False,128,0.98,1.5,0.2,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27263852221066837
5,64,64,False,128,0.98,1.5,0.2,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2738016289277155
5,16,16,True,128,0.98,2.0,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27385945059359074
5,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27389069903092306
5,16,16,True,64,0.98,2.0,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27396415174007416
5,32,32,True,64,0.98,1.5,0.1,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2741781221702695
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0005,512,0.0,0.0001,Adam,CyclicLR,0.0005,0.05,25,10000.0,10.0,0.2743814568966627
5,32,32,False,128,0.98,1.5,0.1,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2743936044270875
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0005,512,0.0,0.0001,AdamW,CyclicLR,0.0005,0.05,25,10000.0,10.0,0.27440611459314823
5,16,16,True,128,0.25,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27489811461418867
5,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2752053209992706
5,16,16,True,128,0.98,1.5,0.0,0.0,0.05,512,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27526797261089087
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0005,128,0.0,0.0001,RAdam,CyclicLR,0.0005,0.05,25,10000.0,10.0,0.2752824056832517
5,64,64,False,128,0.98,1.5,0.2,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2753198349573573
5,32,32,False,128,0.98,1.5,0.1,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2755642723841745
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2755987271666527
5,64,64,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2758505109880791
5,16,16,True,64,0.98,1.5,0.0,0.0,0.05,512,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2759243594482541
5,16,16,True,128,0.5,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2761238170787692
